source_year,country_key,status,league_team_count,source_url,cache_path,detail
2014,iceland,CACHED,12,https://en.wikipedia.org/wiki/2013_%C3%9Arvalsdeild,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2014_iceland_7b6bcf3f.html,
2014,ireland,CACHED,12,https://en.wikipedia.org/wiki/2013_League_of_Ireland,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2014_ireland_267020d9.html,
2014,israel,CACHED,14,https://en.wikipedia.org/wiki/2013–14_Israeli_Premier_League,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2014_israel_a8b889dd.html,
2014,italy,CACHED,20,https://en.wikipedia.org/wiki/2013–14_Serie_A,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2014_italy_5b570cd8.html,
2014,kazakhstan,CACHED,12,https://en.wikipedia.org/wiki/2013_Kazakhstan_Premier_League,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2014_kazakhstan_9b427ada.html,
2014,latvia,CACHED,10,https://en.wikipedia.org/wiki/2013_Latvian_Higher_League,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2014_latvia_97707206.html,
2014,liechtenstein,NOT_APPLICABLE,0,https://en.wikipedia.org/wiki/2013–14_Liechtenstein_Cup,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2014_liechtenstein_5e6f5f66.html,country has no domestic league
2014,lithuania,CACHED,9,https://en.wikipedia.org/wiki/2013_A_Lyga,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2014_lithuania_98575111.html,
2014,luxembourg,CACHED,14,https://en.wikipedia.org/wiki/2013–14_Luxembourg_National_Division,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2014_luxembourg_3f09efac.html,
2014,malta,CACHED,12,https://en.wikipedia.org/wiki/2013–14_Maltese_Premier_League,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2014_malta_1b0b4c3d.html,
2014,moldova,CACHED,12,https://en.wikipedia.org/wiki/2013–14_Moldovan_National_Division,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2014_moldova_191abcd5.html,
2014,montenegro,CACHED,12,https://en.wikipedia.org/wiki/2013–14_Montenegrin_First_League,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2014_montenegro_cfdc3551.html,
