fold,test_season,model,candidate_key,alpha,tau,base_bonus,complexity,matches,brier_1x2,log_loss_1x2,accuracy_1x2,ranking_score,pairwise_accuracy,minimum_start_end_rank_correlation,maximum_abs_rating_change,maximum_abs_match_delta,maximum_total_elo_error
2,2021/22,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.05_t100_b0,0.05,100.0,0.0,1,816,0.5820248845439839,0.9792394201594746,0.5392156862745098,0.2623223544815345,0.5933644083369843,0.9413306193535127,425.9781317641773,92.11327489827717,4.547473508864641e-13
3,2022/23,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.05_t100_b0,0.05,100.0,0.0,1,804,0.5985386829853948,1.0026476654696659,0.4975124378109453,0.3565112052624413,0.6115188698725909,0.9406380088265541,445.46461277451203,88.18405883916553,5.820766091346741e-11
4,2023/24,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.05_t100_b0,0.05,100.0,0.0,1,806,0.5712783636395493,0.9636135752089383,0.543424317617866,0.3261227561635068,0.6159797815740159,0.9375427604082522,301.270748459488,92.63642714161055,9.094947017729282e-13
5,2024/25,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.05_t100_b0,0.05,100.0,0.0,1,957,0.57627544401302,0.9711729490894413,0.54858934169279,0.2461460358238136,0.5875225910435039,0.9360688739061566,379.7216165001223,91.04898558862223,1.1641532182693481e-10
6,2025/26,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.05_t100_b0,0.05,100.0,0.0,1,961,0.5904274926979071,0.990882424601591,0.5296566077003122,,,0.9406446429631115,364.623646456766,91.2263415784598,4.547473508864641e-13
1,2020/21,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.05_t150_b0,0.05,150.0,0.0,1,540,0.5453937704317572,0.9292252693812809,0.575925925925926,0.2900886081457159,0.5996885249042417,0.9685230024213074,455.1981555046043,90.11811340642618,1.1641532182693481e-10
2,2021/22,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.05_t150_b0,0.05,150.0,0.0,1,816,0.5819994659905305,0.9792010741919501,0.5392156862745098,0.2621620848789352,0.5932137654863179,0.9411611458571845,426.4104490077402,92.11501240954102,5.820766091346741e-11
3,2022/23,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.05_t150_b0,0.05,150.0,0.0,1,804,0.5985166179705116,1.0026128732484285,0.4975124378109453,0.35661345908707004,0.6116195914903451,0.9406123943640593,446.04737577571746,88.16979544233901,9.094947017729282e-13
4,2023/24,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.05_t150_b0,0.05,150.0,0.0,1,806,0.5712801013996891,0.9636144726972239,0.543424317617866,0.32721323497375876,0.6163528295806209,0.9371971649937134,301.6348180694458,92.64710747356068,4.547473508864641e-13
5,2024/25,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.05_t150_b0,0.05,150.0,0.0,1,957,0.57625516056416,0.9711438714012944,0.54858934169279,0.24636711072192136,0.5876257606398977,0.9360259646592136,379.5873589223286,91.05755077269022,5.820766091346741e-11
6,2025/26,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.05_t150_b0,0.05,150.0,0.0,1,961,0.5904110965026208,0.9908605708064832,0.5296566077003122,,,0.9406729448068397,365.81702896444176,91.2218167567408,9.094947017729282e-13
1,2020/21,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.05_t200_b0,0.05,200.0,0.0,1,540,0.5453808522852674,0.9292081777048063,0.575925925925926,0.2901368469837801,0.5996885249042417,0.9684247438516278,455.68728381246683,90.14728536139732,4.547473508864641e-13
2,2021/22,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.05_t200_b0,0.05,200.0,0.0,1,816,0.5819813854986764,0.979173625640267,0.5392156862745098,0.2624734131874327,0.5933644083369843,0.9410926352948388,426.753683087956,92.11712342340242,9.094947017729282e-13
3,2022/23,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.05_t200_b0,0.05,200.0,0.0,1,804,0.598497819866883,1.0025839834556345,0.4975124378109453,0.356611711119877,0.6116695040526676,0.9406418035617384,446.5933680258272,88.15682673901262,4.547473508864641e-13
4,2023/24,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.05_t200_b0,0.05,200.0,0.0,1,806,0.5712788084093475,0.963611331917692,0.543424317617866,0.32804464051714316,0.6165117563428504,0.937236501057157,301.95363364780997,92.68231614401303,4.547473508864641e-13
