candidate_key,alpha,tau,matches,brier_1x2,log_loss_1x2,accuracy_1x2,ranking_score,pairwise_accuracy,maximum_abs_match_delta,maximum_abs_rating_change,maximum_total_elo_error,brier_delta_vs_base,log_loss_delta_vs_base,ranking_delta_vs_base,pairwise_delta_vs_base,ranking_evaluable_folds,ranking_no_regression_folds,ranking_practical_no_regression_folds,ranking_both_improved_folds,brier_win_folds,log_loss_win_folds
goal_difference_only_a0.05_t100_b0,0.05,100.0,4884,0.5794478168140832,0.9756963680170662,0.5370597870597871,0.29454446803744244,0.601190206136353,92.63642714161055,454.56663743631975,1.1641532182693481e-10,-4.238177347959393e-05,-5.9666278936942874e-05,-0.0002663607515288602,-0.00017399358720149305,5,2,5,2,4,4
goal_difference_only_a0.05_t150_b0,0.05,150.0,4884,0.5794317312155575,0.9756726925815502,0.5370597870597871,0.29487548384288303,0.6012680655665883,92.64710747356068,455.1981555046043,1.1641532182693481e-10,-5.846737200532193e-05,-8.334171445290028e-05,6.465505391173298e-05,-9.613415696618777e-05,5,1,5,1,4,4
goal_difference_only_a0.05_t200_b0,0.05,200.0,4884,0.5794188957199813,0.9756538812310235,0.5370597870597871,0.29505732725147554,0.601317113726889,92.68231614401303,455.68728381246683,1.1641532182693481e-10,-7.130286758150195e-05,-0.0001021530649796265,0.000246498462504241,-4.708599666547464e-05,5,1,5,1,4,4
goal_difference_only_a0.05_t250_b0,0.05,250.0,4884,0.5794086445156197,0.9756388974957207,0.5370597870597871,0.2949681104894621,0.6013161928902645,92.74433375640203,456.08986844647984,1.1641532182693481e-10,-8.155407194310182e-05,-0.00011713680028235807,0.0001572817004907856,-4.80068332899819e-05,5,1,5,1,6,5
goal_difference_only_a0.05_t300_b0,0.05,300.0,4884,0.5794003731697965,0.9756268326193032,0.5370597870597871,0.29498244184703115,0.601352348448601,92.82669040730185,456.42959955019523,1.1641532182693481e-10,-8.982541776625386e-05,-0.00012920167669994154,0.0001716130580598496,-1.185127495351157e-05,5,1,5,1,6,6
goal_difference_only_a0.05_t400_b0,0.05,400.0,4884,0.5793880046351597,0.9756088362266312,0.5372645372645373,0.29488751556707793,0.6013341245076133,93.02239808843206,456.9714894025251,1.1641532182693481e-10,-0.0001021939524030735,-0.00014719806937191215,7.668677810662716e-05,-3.007521594122764e-05,5,1,5,1,6,6
goal_difference_only_a0.05_t500_b0,0.05,500.0,4884,0.5793792991428263,0.975596206116094,0.5370597870597871,0.294796690367045,0.6012552006625129,93.22617837674218,457.3827679712542,1.1641532182693481e-10,-0.00011089944473652302,-0.00015982817990911613,-1.4138421926324085e-05,-0.00010899906104155921,5,1,5,1,6,6
goal_difference_only_a0.05_t650_b0,0.05,650.0,4884,0.5793702818927863,0.9755831611349364,0.5370597870597871,0.2946815941053158,0.6012395419892376,93.50847291411554,457.8396884865565,1.1641532182693481e-10,-0.00011991669477651179,-0.00017287316106673334,-0.00012923468365549917,-0.00012465773431691307,5,1,5,1,6,6
goal_difference_only_a0.05_t800_b0,0.05,800.0,4884,0.5793641292486447,0.9755742854282221,0.5370597870597871,0.29489511923682177,0.6013227591181834,93.74990259177144,458.1720545676101,1.1641532182693481e-10,-0.00012606933891812222,-0.0001817488677809953,8.42904478504658e-05,-4.144060537103478e-05,5,2,5,2,6,6
goal_difference_only_a0.075_t100_b0,0.075,100.0,4884,0.5794274163444739,0.9756677309483058,0.5370597870597871,0.2948574533706452,0.6012752176817847,92.63676481992147,455.69247297236393,1.1641532182693481e-10,-6.278224308886582e-05,-8.830334769727166e-05,4.6624581673870846e-05,-8.898204176976954e-05,5,1,5,1,4,4
goal_difference_only_a0.075_t150_b0,0.075,150.0,4884,0.5794037137530387,0.9756328181284717,0.5370597870597871,0.2948872990548869,0.6013245741426773,92.65278531784665,456.6391685781846,5.820766091346741e-11,-8.648483452411426e-05,-0.00012321616753141473,7.647026591561801e-05,-3.962558087722279e-05,5,1,5,1,4,4
goal_difference_only_a0.075_t200_b0,0.075,200.0,4884,0.5793848322918982,0.9756051297246462,0.5372645372645373,0.2948460048028081,0.6013001420631253,92.70559832352521,457.37011550602915,1.1641532182693481e-10,-0.00010536629566459954,-0.00015090457135691349,3.51760138367907e-05,-6.405766042916206e-05,5,1,5,1,4,4
