season,team_id,club_id,uefa_team_id,team_name,uefa_team_name,country,country_code,identity_method,identity_source,identity_verified
2026/27,AO-UEFA-64150,AO-UEFA-64150,64150,NSI Runavik,Runavík,Faroe Islands,FAR,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-59325,AO-UEFA-59325,59325,Víkingur,Víkingur,Faroe Islands,FAR,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-50052,AO-UEFA-50052,50052,HJK Helsinki,HJK,Finland,FIN,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-2602511,AO-UEFA-2602511,2602511,Ilves Tampere,Ilves,Finland,FIN,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-64161,AO-UEFA-64161,64161,Inter Turku,Inter Turku,Finland,FIN,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-52350,AO-UEFA-52350,52350,KuPS Kuopio,KuPS Kuopio,Finland,FIN,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-50023,AO-UEFA-50023,50023,AS Monaco,Monaco,France,FRA,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-75797,AO-UEFA-75797,75797,Lille OSC,Lille,France,FRA,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
2026/27,AO-UEFA-5312,AO-UEFA-5312,5312,Olympique Lyon,Lyon,France,FRA,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
2026/27,AO-UEFA-52748,AO-UEFA-52748,52748,Olympique Marseille,Marseille,France,FRA,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
2026/27,AO-UEFA-52747,AO-UEFA-52747,52747,Paris Saint-Germain,Paris,France,FRA,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-52277,AO-UEFA-52277,52277,RC Lens,Lens,France,FRA,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-55031,AO-UEFA-55031,55031,Stade Rennais,Rennes,France,FRA,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
2026/27,AO-UEFA-64467,AO-UEFA-64467,64467,Dila Gori,Dila,Georgia,GEO,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
2026/27,AO-UEFA-52705,AO-UEFA-52705,52705,Dinamo Tbilisi,Dinamo Tbilisi,Georgia,GEO,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-2605905,AO-UEFA-2605905,2605905,Iberia 1999,Iberia Tbilisi,Georgia,GEO,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
2026/27,AO-UEFA-64471,AO-UEFA-64471,64471,Torpedo Kutaisi,Torpedo Kutaisi,Georgia,GEO,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-2600431,AO-UEFA-2600431,2600431,1899 Hoffenheim,Hoffenheim,Germany,GER,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
2026/27,AO-UEFA-50109,AO-UEFA-50109,50109,Bayer Leverkusen,Leverkusen,Germany,GER,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
