baseline_model,candidate_model,scope,metric,method,matches,clusters,mean_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
CURRENT_AO,ML_POISSON_ENSEMBLE,coverage:NONE,log_loss_1x2,team_season,1587,880,-0.003908490258009189,-0.005983506831765018,-0.0019490001013395615,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,coverage:NONE,log_loss_1x2,calendar_month,1587,58,-0.003908490258009189,-0.00694987522507197,-0.0013804680103980103,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,coverage:NONE,log_loss_1x2,conservative_envelope,1587,,-0.003908490258009189,-0.00694987522507197,-0.0011573129965756928,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,coverage:ONE,brier_1x2,tie_or_match,1980,1485,-0.009001755959453142,-0.013088337557118754,-0.004951947699902813,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,coverage:ONE,brier_1x2,team_season,1980,912,-0.009001755959453142,-0.012048199566705303,-0.005974209987469036,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,coverage:ONE,brier_1x2,calendar_month,1980,60,-0.009001755959453142,-0.014444747860221731,-0.003507726240952489,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,coverage:ONE,brier_1x2,conservative_envelope,1980,,-0.009001755959453142,-0.014444747860221731,-0.003507726240952489,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,coverage:ONE,log_loss_1x2,tie_or_match,1980,1485,-0.012760869950099916,-0.01896911998231189,-0.006534240407665019,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,coverage:ONE,log_loss_1x2,team_season,1980,912,-0.012760869950099916,-0.017329624708429782,-0.007967169267993637,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,coverage:ONE,log_loss_1x2,calendar_month,1980,60,-0.012760869950099916,-0.020963179727351993,-0.003716772634108855,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,coverage:ONE,log_loss_1x2,conservative_envelope,1980,,-0.012760869950099916,-0.020963179727351993,-0.003716772634108855,True,False
