match_id,competition,source_event_id,home_shots_on_goal,away_shots_on_goal,home_shots_off_goal,away_shots_off_goal,home_total_shots,away_total_shots,home_blocked_shots,away_blocked_shots,home_shots_insidebox,away_shots_insidebox,home_shots_outsidebox,away_shots_outsidebox,home_fouls,away_fouls,home_corner_kicks,away_corner_kicks,home_offsides,away_offsides,home_ball_possession,away_ball_possession,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_total_passes,away_total_passes,home_passes_accurate,away_passes_accurate,home_passes,away_passes,home_expected_goals,away_expected_goals,home_goals_prevented,away_goals_prevented,stats_covered,xg_raw_present,xg_covered,xg_zero_inconsistent_with_shots,xg_both_zero,xg_placeholder_suspected,xg_analysis_eligible,xg_quality_status
202526-0627,UECL,2291984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0643,UECL,2308488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0645,UECL,2272291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0663,UECL,2291982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0665,UECL,2272287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0675,UECL,2291983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0683,UECL,2291980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0685,UECL,2272292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0302,UEL,2292032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,False,True,True,False,BOTH_ZERO_PLACEHOLDER
202526-0310,UEL,2272326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,False,True,True,False,BOTH_ZERO_PLACEHOLDER
202526-0631,UECL,2272276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
