model,candidate_key,alpha,tau,base_bonus,complexity,matches,brier_1x2,log_loss_1x2,accuracy_1x2,multiclass_ece,ranking_score,pairwise_accuracy,minimum_start_end_rank_correlation,maximum_abs_rating_change,maximum_abs_match_delta,maximum_total_elo_error
FULL_MODEL,full_model_a0.05_t500_b6,0.05,500.0,6.0,2,4884,0.5793713005656151,0.9755865789850595,0.5370597870597871,0.017990749386394844,0.296405049260467,0.6016135805269879,0.935691820310681,477.382767971254,93.22617837674218,1.1641532182693481e-10
FULL_MODEL,full_model_a0.05_t500_b8,0.05,500.0,8.0,2,4884,0.5793688331207698,0.9755836632347342,0.5370597870597871,0.01799543926863729,0.29629560012831524,0.6015719763949602,0.9355795258984694,484.04943463792097,93.22617837674218,1.1641532182693481e-10
FULL_MODEL,full_model_a0.05_t500_b10,0.05,500.0,10.0,2,4884,0.5793664651429798,0.9755808941691871,0.5370597870597871,0.017972729853478444,0.29642382851415355,0.6016010547710814,0.9355074018450974,490.7161013045875,93.22617837674218,5.820766091346741e-11
FULL_MODEL,full_model_a0.05_t500_b12,0.05,500.0,12.0,2,4884,0.5793641966859283,0.9755782718103676,0.5370597870597871,0.018045627270590083,0.29653256421952817,0.601650562956816,0.9354745351878648,497.382767971254,93.22617837674218,5.820766091346741e-11
FULL_MODEL,full_model_a0.1_t150_b0,0.1,150.0,0.0,1,4884,0.5793765269476655,0.9755941666203376,0.5372645372645373,0.01771152092411654,0.29627468909892757,0.6015863516315799,0.935633390697823,458.1005183101006,92.65846316213262,5.820766091346741e-11
FULL_MODEL,full_model_a0.1_t150_b2,0.1,150.0,2.0,2,4884,0.5793736740803298,0.9755906737508631,0.5372645372645373,0.017818661320231074,0.2964259162902415,0.6016209983779084,0.9356388684740284,464.7671849767669,92.65846316213262,5.820766091346741e-11
FULL_MODEL,full_model_a0.1_t150_b4,0.1,150.0,4.0,2,4884,0.5793709312210925,0.9755873437820123,0.5374692874692875,0.017780997070222793,0.2966580510490012,0.601650792110781,0.9357265128933157,471.4338516434343,92.65846316213262,5.820766091346741e-11
FULL_MODEL,full_model_a0.1_t150_b6,0.1,150.0,6.0,2,4884,0.5793682896666967,0.9755841632302876,0.5374692874692875,0.01775711614778445,0.29660808745611894,0.6016497600269576,0.935602349965992,478.1005183101006,92.65846316213262,5.820766091346741e-11
FULL_MODEL,full_model_a0.1_t150_b8,0.1,150.0,8.0,2,4884,0.579365746648143,0.9755811277589157,0.5374692874692875,0.0178288538238222,0.2966764058436338,0.60165775442113,0.9356078277421974,484.7671849767671,92.65846316213262,1.1641532182693481e-10
FULL_MODEL,full_model_a0.1_t150_b10,0.1,150.0,10.0,2,4884,0.5793633022269883,0.975578237393335,0.5374692874692875,0.018009739787601273,0.2967524031365803,0.6016988791067726,0.935633390697823,491.4338516434336,92.65846316213262,1.1641532182693481e-10
