match_id,fotmob_fetch_status,detail_identity_verified,detail_score_verified,detail_chronology_verified,xg_disposition
202021-0152,OK,True,True,True,ACCEPTED
202021-0154,OK,True,True,True,ACCEPTED
202021-0481,OK,True,True,True,ACCEPTED
202021-0150,OK,True,True,True,ACCEPTED
202021-0164,OK,True,True,True,ACCEPTED
202021-0487,OK,True,True,True,ACCEPTED
202021-0491,OK,True,True,True,ACCEPTED
202021-0495,OK,True,True,True,ACCEPTED
202021-0503,OK,True,True,True,ACCEPTED
202021-0505,OK,True,True,True,ACCEPTED
202021-0507,OK,True,True,True,ACCEPTED
202021-0509,OK,True,True,True,ACCEPTED
202021-0483,OK,True,True,True,ACCEPTED
202021-0485,OK,True,True,True,ACCEPTED
202021-0489,OK,True,True,True,ACCEPTED
202021-0493,OK,True,True,True,ACCEPTED
202021-0497,OK,True,True,True,ACCEPTED
202021-0499,OK,True,True,True,ACCEPTED
202021-0501,OK,True,True,True,ACCEPTED
202021-0511,OK,True,True,True,ACCEPTED
202021-0159,OK,True,True,True,EXTRA_TIME_SCOPE_MISMATCH
202021-0163,OK,True,True,True,ACCEPTED
202021-0157,OK,True,True,True,ACCEPTED
202021-0161,OK,True,True,True,ACCEPTED
202021-0512,OK,True,True,True,ACCEPTED
202021-0514,OK,True,True,True,ACCEPTED
202021-0522,OK,True,True,True,ACCEPTED
202021-0524,OK,True,True,True,ACCEPTED
202021-0516,OK,True,True,True,ACCEPTED
202021-0518,OK,True,True,True,ACCEPTED
202021-0520,OK,True,True,True,ACCEPTED
202021-0526,OK,True,True,True,ACCEPTED
202021-0151,OK,True,True,True,ACCEPTED
202021-0165,OK,True,True,True,ACCEPTED
202021-0153,OK,True,True,True,ACCEPTED
202021-0155,OK,True,True,True,ACCEPTED
202021-0517,OK,True,True,True,ACCEPTED
202021-0519,OK,True,True,True,ACCEPTED
202021-0521,OK,True,True,True,EXTRA_TIME_SCOPE_MISMATCH
202021-0527,OK,True,True,True,ACCEPTED
202021-0513,OK,True,True,True,ACCEPTED
202021-0515,OK,True,True,True,ACCEPTED
202021-0523,OK,True,True,True,ACCEPTED
202021-0525,OK,True,True,True,ACCEPTED
202021-0166,OK,True,True,True,ACCEPTED
202021-0172,OK,True,True,True,ACCEPTED
202021-0168,OK,True,True,True,ACCEPTED
202021-0170,OK,True,True,True,ACCEPTED
202021-0528,OK,True,True,True,ACCEPTED
202021-0530,OK,True,True,True,ACCEPTED
202021-0532,OK,True,True,True,ACCEPTED
202021-0534,OK,True,True,True,ACCEPTED
202021-0169,OK,True,True,True,ACCEPTED
202021-0171,OK,True,True,True,ACCEPTED
202021-0167,OK,True,True,True,ACCEPTED
202021-0173,OK,True,True,True,ACCEPTED
202021-0529,OK,True,True,True,ACCEPTED
202021-0531,OK,True,True,True,ACCEPTED
202021-0533,OK,True,True,True,ACCEPTED
