candidate,season,competition,matches,log_loss,brier,decisive_accuracy,mean_season_spearman
country_b12.5_g1.8_c380,2024/25,UEL,269,0.6338380177628211,0.1704417104578681,0.719626168224299,0.4353419220204229
country_b12.5_g1.8_c380,2024/25,UECL,409,0.6247931780377313,0.16727729866165778,0.6779141104294478,0.378357993493002
country_b12.5_g1.8_c380,2025/26,ALL,961,0.6372241048239735,0.17408650670576026,0.6593264248704663,0.3791042958871398
country_b12.5_g1.8_c380,2025/26,UCL,281,0.6192704694791772,0.16795652402644098,0.6842105263157895,0.4175234298852617
country_b12.5_g1.8_c380,2025/26,UEL,271,0.6542202978213592,0.1834582604860344,0.6027397260273972,0.34069447827719307
country_b12.5_g1.8_c380,2025/26,UECL,409,0.6382974623535487,0.17208841345009868,0.68,0.3280018476382128
country_b12.5_g1.8_c400,2021/22,ALL,816,0.6217442478741455,0.1583747445986562,0.7022292993630573,0.41082620399241654
country_b12.5_g1.8_c400,2021/22,UCL,218,0.6109170589590084,0.16237139677676649,0.7102272727272727,0.4293516434587068
country_b12.5_g1.8_c400,2021/22,UEL,175,0.6433082698297822,0.156563604255391,0.6587301587301587,0.46457136792268083
country_b12.5_g1.8_c400,2021/22,UECL,423,0.6184029318960448,0.15706429397275398,0.7147239263803681,0.3399713333978148
country_b12.5_g1.8_c400,2022/23,ALL,804,0.6358117138790526,0.1655559352174668,0.6618357487922706,0.3997501502298038
country_b12.5_g1.8_c400,2022/23,UCL,214,0.6273552364705609,0.16180355900138718,0.6727272727272727,0.3228514694550659
country_b12.5_g1.8_c400,2022/23,UEL,175,0.635324882007848,0.16316472577089394,0.6691729323308271,0.3837154311442083
country_b12.5_g1.8_c400,2022/23,UECL,415,0.6403776939823731,0.16849923681600001,0.653250773993808,0.34395967928087484
country_b12.5_g1.8_c400,2023/24,ALL,806,0.6169351285928636,0.16089113671675168,0.6929133858267716,0.4004609253178391
country_b12.5_g1.8_c400,2023/24,UCL,214,0.6334490159836107,0.16418757691926303,0.6787878787878788,0.38989694795083946
country_b12.5_g1.8_c400,2023/24,UEL,175,0.5822040986180119,0.14711150812717178,0.75,0.642979938860925
country_b12.5_g1.8_c400,2023/24,UECL,417,0.6230357481227894,0.16498225614082615,0.6757575757575758,0.3428182500117428
country_b12.5_g1.8_c400,2024/25,ALL,957,0.6331452761405488,0.17405049185992255,0.6851612903225807,0.44284670409297944
country_b12.5_g1.8_c400,2024/25,UCL,279,0.6413952680510356,0.18587560299103673,0.6723404255319149,0.3900515768372946
country_b12.5_g1.8_c400,2024/25,UEL,269,0.635737038500759,0.17136910626253693,0.7102803738317757,0.42996408754389237
country_b12.5_g1.8_c400,2024/25,UECL,409,0.6258129245074869,0.1677475254054381,0.6779141104294478,0.37778687769480673
country_b12.5_g1.8_c400,2025/26,ALL,961,0.6386477574023522,0.17462015661277563,0.6567357512953368,0.3754659014264382
country_b12.5_g1.8_c400,2025/26,UCL,281,0.619381373857597,0.16801439028953402,0.6798245614035088,0.4132833341739781
country_b12.5_g1.8_c400,2025/26,UEL,271,0.6572332175015602,0.18468152184413641,0.6073059360730594,0.3261389864822519
country_b12.5_g1.8_c400,2025/26,UECL,409,0.6395699923392493,0.17249201568155836,0.6738461538461539,0.3229969613466291
country_b12.5_g2.0_c280,2021/22,ALL,816,0.6194452512645113,0.15745031205971904,0.7038216560509554,0.4266418954430102
country_b12.5_g2.0_c280,2021/22,UCL,218,0.6081819112983745,0.16111921868020718,0.7272727272727273,0.4416519175826166
country_b12.5_g2.0_c280,2021/22,UEL,175,0.6425101443334195,0.15610992589255313,0.6428571428571429,0.45815015873104964
country_b12.5_g2.0_c280,2021/22,UECL,423,0.615707785131081,0.1561140140360492,0.7147239263803681,0.36661549108717406
country_b12.5_g2.0_c280,2022/23,ALL,804,0.634151674507621,0.1650659901802081,0.6586151368760065,0.40674229669549206
country_b12.5_g2.0_c280,2022/23,UCL,214,0.6255702468699629,0.16093797658451509,0.6787878787878788,0.34847723797193614
country_b12.5_g2.0_c280,2022/23,UEL,175,0.6370164854920912,0.1635492217255448,0.6616541353383458,0.39458777648103205
country_b12.5_g2.0_c280,2022/23,UECL,415,0.637368743404432,0.16783425376826683,0.6470588235294118,0.35384014141733594
country_b12.5_g2.0_c280,2023/24,ALL,806,0.6128483103002594,0.15911000296671646,0.6929133858267716,0.4063466220953348
country_b12.5_g2.0_c280,2023/24,UCL,214,0.6283304285810426,0.16178599985935158,0.6727272727272727,0.4118204012824553
country_b12.5_g2.0_c280,2023/24,UEL,175,0.5771001599157833,0.1450776127581654,0.7428571428571429,0.6716528377838616
country_b12.5_g2.0_c280,2023/24,UECL,417,0.6199052719434149,0.16362560237072735,0.6818181818181818,0.3402314185422242
country_b12.5_g2.0_c280,2024/25,ALL,957,0.6246631488768949,0.16998908025375659,0.6967741935483871,0.44697249947658085
country_b12.5_g2.0_c280,2024/25,UCL,279,0.6246882345885331,0.17820510884611993,0.6936170212765957,0.4150731743254945
country_b12.5_g2.0_c280,2024/25,UEL,269,0.627663747480866,0.16726841015442634,0.719626168224299,0.48171019151729483
country_b12.5_g2.0_c280,2024/25,UECL,409,0.622672537781503,0.16617389267295088,0.6840490797546013,0.3757554754973519
country_b12.5_g2.0_c280,2025/26,ALL,961,0.6340043204946607,0.17291384329449289,0.6658031088082902,0.39145806350052564
country_b12.5_g2.0_c280,2025/26,UCL,281,0.6202255107292898,0.16844226809265625,0.6842105263157895,0.43379356459134993
country_b12.5_g2.0_c280,2025/26,UEL,271,0.645041424637599,0.17958711078626172,0.6301369863013698,0.39567744865643484
