segment_type,segment_value,model,matches,brier_1x2,log_loss_1x2,accuracy_1x2,baseline_brier,baseline_log_loss,delta_brier_vs_ao,delta_log_loss_vs_ao
favorite_band,BALANCED,CURRENT_ML_BLEND,2721,0.6306530702914308,1.0465093067043982,0.4663726571113561,0.6330623904075342,1.049443621956958,-0.0024093201161033972,-0.002934315252559827
favorite_band,BALANCED,DOMESTIC_AD_RAW,2721,0.6348655603791405,1.0525467702210267,0.4626975376699743,0.6330623904075342,1.049443621956958,0.0018031699716063443,0.003103148264068656
favorite_band,BALANCED,DOMESTIC_AD_RELIABLE,2721,0.6350055363296067,1.0527195035980252,0.4619625137816979,0.6330623904075342,1.049443621956958,0.0019431459220724534,0.00327588164106718
favorite_band,BALANCED,DOMESTIC_ATTACK_DEFENCE_DIXON_COLES,2721,0.6345457483614658,1.0518745656398434,0.4619625137816979,0.6330623904075342,1.049443621956958,0.0014833579539316188,0.0024309436828853226
favorite_band,BALANCED,DOMESTIC_ATTACK_DEFENCE_POISSON,2721,0.6350055363296067,1.0527195035980252,0.4619625137816979,0.6330623904075342,1.049443621956958,0.0019431459220724534,0.00327588164106718
favorite_band,BALANCED,EXISTING_ELO_POISSON,2721,0.6344143003221708,1.0521003865666663,0.4671076809996325,0.6330623904075342,1.049443621956958,0.0013519099146366287,0.0026567646097082065
favorite_band,BALANCED,POISSON_FEATURE_LOGISTIC,2721,0.6461768159290895,1.0733478713582496,0.4487320837927233,0.6330623904075342,1.049443621956958,0.013114425521555284,0.023904249401291544
favorite_band,HOME_FAVORITE,AO_ML_POISSON_BLEND,1825,0.4672062108496804,0.8167258940736254,0.686027397260274,0.4707429735702301,0.8216688889539,-0.003536762720549702,-0.004942994880274609
favorite_band,HOME_FAVORITE,AO_POISSON_BLEND,1825,0.46982093943180747,0.8201338629478376,0.6871232876712329,0.4707429735702301,0.8216688889539,-0.0009220341384226227,-0.0015350260060623677
favorite_band,HOME_FAVORITE,CURRENT_AO,1825,0.4707429735702301,0.8216688889539,0.6871232876712329,0.4707429735702301,0.8216688889539,0.0,0.0
favorite_band,HOME_FAVORITE,CURRENT_ML_BLEND,1825,0.4676958505042353,0.816844658856921,0.6865753424657535,0.4707429735702301,0.8216688889539,-0.0030471230659948056,-0.004824230096978965
favorite_band,HOME_FAVORITE,DOMESTIC_AD_RAW,1825,0.4698406261882543,0.819424152552962,0.6871232876712329,0.4707429735702301,0.8216688889539,-0.0009023473819758099,-0.00224473640093803
favorite_band,HOME_FAVORITE,DOMESTIC_AD_RELIABLE,1825,0.4698043576427465,0.8194692223847093,0.6871232876712329,0.4707429735702301,0.8216688889539,-0.0009386159274836214,-0.0021996665691906836
favorite_band,HOME_FAVORITE,DOMESTIC_ATTACK_DEFENCE_DIXON_COLES,1825,0.46998894370216976,0.8200912066044777,0.6871232876712329,0.4707429735702301,0.8216688889539,-0.0007540298680603352,-0.001577682349422349
favorite_band,HOME_FAVORITE,DOMESTIC_ATTACK_DEFENCE_POISSON,1825,0.4698043576427465,0.8194692223847093,0.6871232876712329,0.4707429735702301,0.8216688889539,-0.0009386159274836214,-0.0021996665691906836
favorite_band,HOME_FAVORITE,EXISTING_ELO_POISSON,1825,0.471667311904495,0.8226249119545326,0.6871232876712329,0.4707429735702301,0.8216688889539,0.0009243383342649181,0.0009560230006325776
favorite_band,HOME_FAVORITE,POISSON_FEATURE_LOGISTIC,1825,0.47389026129279743,0.8280776263489991,0.68,0.4707429735702301,0.8216688889539,0.003147287722567338,0.006408737395099062
