candidate,season,competition,teams,ranking_score,pairwise_accuracy,top_quartile_precision,rank_percentile_mae,zero_exposure_teams,zero_exposure_rank_mae,zero_exposure_mean_overrank,zero_exposure_extreme_overrank_count,raw_score_spearman
c0_e0_x0p666667,2024/25,UEL,76,0.5262697425526641,0.6865724381625442,0.631578947368421,0.22004847645429368,9,0.23391812865497075,0.14400584795321636,1,0.43877046430880223
c0_e0_x0p666667,2024/25,UECL,164,0.42529304923737743,0.652177211348809,0.5121951219512195,0.23728435455086258,31,0.2466561762391818,0.19079464988198272,7,0.36286457605237304
c0_e0_x0p666667,2025/26,UCL,82,0.4847218233108524,0.6759708737864077,0.42857142857142855,0.2339381320642475,1,0.03658536585365854,0.03658536585365854,0,0.4323856402941312
c0_e0_x0p666667,2025/26,UEL,77,0.39569092493443386,0.631723192874272,0.55,0.24928318434811936,6,0.19913419913419914,0.10173160173160174,1,0.42339941216537025
c0_e0_x0p666667,2025/26,UECL,164,0.4273246938457849,0.6474150329271062,0.4634146341463415,0.24538964901844135,23,0.2378048780487805,0.1504506892895016,3,0.32788202785082476
c0_e0_x1,2018/19,UCL,79,0.5497031151004202,0.6990816661200393,0.6,0.2099022592533248,1,0.6582278481012658,0.0,0,0.5534238264365455
c0_e0_x1,2018/19,UEL,213,0.463390311369634,0.6603841160406501,0.5740740740740741,0.23458749366307388,30,0.2183881064162754,0.1569640062597809,5,0.3966327257226257
c0_e0_x1,2019/20,UCL,79,0.45453604545106985,0.6611637790127493,0.5,0.24290979009774077,3,0.2679324894514768,0.02742616033755273,0,0.44084949824433406
c0_e0_x1,2019/20,UEL,213,0.4153952105221383,0.6404951291446956,0.42592592592592593,0.2535872512067711,25,0.25333333333333335,0.1894835680751174,6,0.3671569004394791
c0_e0_x1,2020/21,UCL,79,0.44578718802840156,0.6529814271749755,0.55,0.2385835603268707,1,0.07594936708860761,0.07594936708860761,0,0.46794863954500615
c0_e0_x1,2020/21,UEL,213,0.42665575848746423,0.6529674252565819,0.5740740740740741,0.2444179946659614,34,0.20947252140292738,0.13407898370615853,5,0.42390876021751
c0_e0_x1,2021/22,UCL,80,0.4633611866106352,0.657351540171483,0.5,0.24437499999999995,0,0.0,0.0,0,0.4523505946856909
c0_e0_x1,2021/22,UEL,58,0.4716450055009584,0.6618181818181819,0.4,0.23840665873959574,1,0.08620689655172412,0.0,0,0.39100800048457524
c0_e0_x1,2021/22,UECL,181,0.428968550498995,0.6511122157325712,0.5652173913043478,0.2484051158389548,31,0.24817323115309212,0.1653894136517555,4,0.35640661272351104
c0_e0_x1,2022/23,UCL,78,0.3676674587528833,0.6284757118927973,0.5,0.25098619329388555,2,0.05448717948717949,0.04487179487179488,0,0.3510345528667085
c0_e0_x1,2022/23,UEL,57,0.4239870375996116,0.6424090338770388,0.4,0.24222837796244995,5,0.2192982456140351,0.12105263157894737,0,0.3479821302409561
