power_carry,competition,draw_at_even,draw_shape,matches,brier_1x2,log_loss_1x2,distance_from_reference
0.25,ALL,0.3,1.0,6340,0.5765725819678393,0.9729722857400148,0.019999999999999962
0.25,ALL,0.26,2.0,6340,0.5752421843737645,0.9731861692607305,0.04000000000000002
0.25,ALL,0.3,2.0,6340,0.5760909377762635,0.973431055097267,0.039999999999999966
0.25,ALL,0.32,1.5,6340,0.5778578139258994,0.9748443453524369,0.04999999999999998
0.25,ALL,0.2,1.25,6340,0.576828117653879,0.9748675699594748,0.08500000000000002
0.25,ALL,0.24,2.0,6340,0.5759324015883928,0.9754158647122122,0.06000000000000004
0.25,ALL,0.32,2.0,6340,0.5776299083933908,0.9756371334568485,0.059999999999999984
0.25,ALL,0.32,1.25,6340,0.5783949554739847,0.9758669862336661,0.04499999999999998
0.25,ALL,0.2,1.5,6340,0.5777007905561192,0.9779937064849004,0.09000000000000001
0.25,ALL,0.32,1.0,6340,0.5793689935460621,0.9782100020585754,0.03999999999999998
0.25,ALL,0.18,1.0,6340,0.5786149221101407,0.9786815334252111,0.10000000000000003
0.25,ALL,0.34,2.0,6340,0.5799119416211033,0.9791046935801264,0.08
0.25,ALL,0.22,2.0,6340,0.577365681413606,0.9794633938294776,0.08000000000000003
0.25,ALL,0.34,1.5,6340,0.5807161322872063,0.9796577200826024,0.06999999999999999
